{'domain': 'loki-zzbm.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'elastic7000w.shjt2.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': 'oa2.360es.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '范立飞-域名失效无解析'}
{'domain': 'ntp1.ops.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'ax.esg.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '韩福华-域名失效无解析'}
{'domain': 'fy.csda.360.net.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'milkman.ops.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '刘伟-域名失效无解析'}
{'domain': 'ntp.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'pxe.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '未知-域名失效无解析'}
{'domain': 'mysql11111r.yun.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张振辉-域名失效无解析'}
{'domain': '*.tengyun-dev', 'domainType': 'Internet', 'isUse': 0, 'note': '黄杰昌-域名失效无解析'}
{'domain': 'dnslog.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '孙亮01-域名失效无解析'}
{'domain': 'acc', 'domainType': 'Internet', 'isUse': 0, 'note': '徐金帅-域名失效无解析'}
{'domain': 'tj.secmp.org', 'domainType': 'Internet', 'isUse': 0, 'note': '尹艳兴-域名失效无解析'}
{'domain': 'ecw.secmp.org', 'domainType': 'Internet', 'isUse': 0, 'note': '尹艳兴-域名失效无解析'}
{'domain': 'link.sg.qianxin-inc.cn', 'domainType': 'Intranet', 'isUse': 0, 'note': '张成磊-域名失效无解析'}
{'domain': 'lt-cloud.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'mail.gudongqun.com', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'registry.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj2h-open.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'bluemsg.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app3.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'opendev.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'lt.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'm.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'oauth.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'open.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'api.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'dms.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'portal.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'acs.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ldev.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': '@lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'service-jsga.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'xiangshan.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'lnjy.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'tydqp-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga-lx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apigw-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsgaapps.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-salesplan-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'passport-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'imana-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'service-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'fkyy-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'article-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ydqp-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'tfkyy-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-teleconference-stage.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apps-bjwa.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3api-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-blueprint-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3sts-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apigw-hnszffzyjzx.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'admin-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-conference-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'edge-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'imana-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'open-dev-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'passport-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-notify-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-blueprint-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-notify-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'article-csrda.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apps-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'open-dev-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga2.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-blueprint-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'br-open.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'br-apps.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga-dms.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj-apps.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga-open.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'br-dms.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga1.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'jsga-app.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'chdtest.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj2h-dms.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'custcenter.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'cust04-eg.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'dashboard-cust.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'custpmc.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-blue-safety.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3dev-mot.t.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': '@e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'lxtest-ndj2h.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'czwxb.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apigw-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'apigw-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 's3api-lnjw.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'preview-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'app-netmeeting-fsswj.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
{'domain': 'ndj-cdn.e.lanxin.cn', 'domainType': 'Internet', 'isUse': 0, 'note': '党羽-域名失效无解析'}
